spark.executor.cores,spark.executor.memory,spark.memory.fraction,spark.memory.storageFraction,spark.default.parallelism,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.io.compression.codec,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.serializer,time
2,13817,0.4928483268213413,0.5115665337974119,129,true,false,false,true,lzf,35,30,org.apache.spark.serializer.KryoSerializer,218706
2,17616,0.3774951072139314,0.441929168222709,16,true,true,true,false,lz4,49,16,org.apache.spark.serializer.KryoSerializer,226135
1,9004,0.24699436221120036,0.12856440992008028,133,false,true,false,true,snappy,67,51,org.apache.spark.serializer.JavaSerializer,269653
2,19193,0.29713031873290174,0.10382327730514547,70,false,false,true,false,lzf,86,42,org.apache.spark.serializer.KryoSerializer,196538
1,11294,0.8943927474521821,0.7218282125768254,205,true,true,true,true,lzf,44,22,org.apache.spark.serializer.JavaSerializer,323648
4,17253,0.5996529901689598,0.850175934632522,77,true,false,true,true,lz4,43,17,org.apache.spark.serializer.KryoSerializer,167477
4,18096,0.30110296149740456,0.1932074544805829,145,false,true,false,true,snappy,37,12,org.apache.spark.serializer.JavaSerializer,210304
1,9054,0.3827776806530391,0.2945494177823299,116,false,false,false,false,lz4,94,15,org.apache.spark.serializer.JavaSerializer,209847
1,8440,0.5596759233059391,0.4074232840953965,215,false,true,true,true,lzf,63,12,org.apache.spark.serializer.JavaSerializer,195932
2,8822,0.7192650960040877,0.8630125678371087,65,false,true,false,false,lzf,74,13,org.apache.spark.serializer.KryoSerializer,204298
1,17760,0.6238054805542647,0.8576624577410265,172,false,false,false,true,lz4,52,51,org.apache.spark.serializer.KryoSerializer,291637
2,7143,0.14821376900552094,0.4277272247442967,18,true,false,true,true,snappy,45,31,org.apache.spark.serializer.KryoSerializer,239987
2,17644,0.6817006403881914,0.7852633029120308,33,false,false,false,false,lz4,51,63,org.apache.spark.serializer.JavaSerializer,245167
1,13865,0.4085566802720372,0.6224194694251846,68,false,false,false,true,lzf,78,20,org.apache.spark.serializer.KryoSerializer,293261
2,17019,0.7428650817503238,0.1967659247917049,98,false,true,true,false,lz4,72,45,org.apache.spark.serializer.JavaSerializer,192891
2,14110,0.11095661005102322,0.3124119144331108,8,false,true,false,false,lzf,10,51,org.apache.spark.serializer.KryoSerializer,240394
4,9040,0.8933874679403607,0.1073351617011042,165,true,true,true,false,snappy,81,10,org.apache.spark.serializer.JavaSerializer,212027
2,13587,0.32480155597095517,0.617678168766734,144,false,true,false,false,lz4,47,20,org.apache.spark.serializer.JavaSerializer,196254
1,9609,0.6482183583738885,0.2511842443492317,140,true,true,true,false,lzf,54,31,org.apache.spark.serializer.KryoSerializer,234410
2,11217,0.43611867964933515,0.2124267896374299,54,false,true,false,true,lzf,68,30,org.apache.spark.serializer.KryoSerializer,191051
