XX:MaxNewSize,Xms,Xmx,protocol,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount,enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,Throughput
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,200,50,250,10,50,TRUE,20000,FALSE,1024,4620.431548
64,128,256,org.apache.coyote.http11.Http11Protocol,16384,200,50,75,100,200,FALSE,20000,FALSE,2048,5691.41166
256,128,512,org.apache.coyote.http11.Http11Protocol,8192,200,50,75,50,200,FALSE,20000,FALSE,1024,5806.863713
128,128,256,org.apache.coyote.http11.Http11NioProtocol,16384,200,50,75,50,100,TRUE,20000,TRUE,2048,6254.560617
256,128,512,org.apache.coyote.http11.Http11AprProtocol,16384,200,50,75,10,100,FALSE,20000,FALSE,1024,5310.580446
64,64,128,org.apache.coyote.http11.Http11NioProtocol,4096,200,50,75,10,50,TRUE,20000,FALSE,2048,5253.388436
64,64,128,org.apache.coyote.http11.Http11AprProtocol,16384,500,100,500,100,200,TRUE,20000,FALSE,2048,5365.574474
128,256,512,org.apache.coyote.http11.Http11NioProtocol,4096,500,100,250,10,50,FALSE,20000,TRUE,1024,6248.437891
64,128,512,org.apache.coyote.http11.Http11Protocol,8192,500,100,500,100,100,FALSE,20000,FALSE,2048,6312.068675
64,64,128,org.apache.coyote.http11.Http11Protocol,4096,500,100,250,10,200,FALSE,20000,TRUE,2048,4962.614967
128,128,256,org.apache.coyote.http11.Http11NioProtocol,4096,500,100,250,50,100,FALSE,20000,TRUE,2048,6132.96263
128,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,500,100,250,50,50,TRUE,20000,FALSE,2048,5307.573908
64,128,256,org.apache.coyote.http11.Http11NioProtocol,16384,500,100,250,50,200,TRUE,20000,TRUE,1024,6206.040546
128,256,512,org.apache.coyote.http11.Http11NioProtocol,8192,500,100,500,100,100,TRUE,20000,FALSE,1024,6076.6878
128,128,512,org.apache.coyote.http11.Http11Protocol,8192,500,100,250,50,50,FALSE,20000,TRUE,1024,6025.548325
64,64,128,org.apache.coyote.http11.Http11NioProtocol,16384,1000,100,500,10,50,FALSE,20000,TRUE,2048,5555.761324
64,64,128,org.apache.coyote.http11.Http11Protocol,16384,1000,100,250,50,50,TRUE,20000,TRUE,2048,3831.466558
128,128,256,org.apache.coyote.http11.Http11Protocol,4096,1000,100,250,100,50,TRUE,20000,FALSE,1024,7135.721421
128,256,512,org.apache.coyote.http11.Http11Protocol,16384,1000,100,250,50,50,TRUE,20000,FALSE,1024,6123.448726
64,64,128,org.apache.coyote.http11.Http11NioProtocol,16384,1000,100,500,10,100,FALSE,20000,FALSE,1024,5606.53348
128,128,256,org.apache.coyote.http11.Http11NioProtocol,4096,1000,100,250,100,50,TRUE,20000,FALSE,1024,6067.347558
64,64,128,org.apache.coyote.http11.Http11AprProtocol,4096,1000,100,250,100,100,TRUE,20000,FALSE,2048,5004.337092
128,256,512,org.apache.coyote.http11.Http11Protocol,8192,1000,100,250,100,200,FALSE,20000,TRUE,1024,6611.278842
